HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC
Eibar,Celta,0,0,8,6,1,3,3,3
Granada,Ath Bilbao,2,0,4,9,2,2,1,2
Cadiz,Osasuna,0,2,12,6,3,4,6,2
Alaves,Betis,0,1,7,11,2,4,6,4
Valladolid,Sociedad,1,1,8,8,3,2,5,3
Villarreal,Huesca,1,1,15,10,4,3,6,6
Valencia,Levante,4,2,14,19,8,8,3,4
Villarreal,Eibar,2,1,14,12,8,4,4,3
Getafe,Osasuna,1,0,7,10,1,3,4,1
Celta,Valencia,2,1,23,9,6,3,6,6
Huesca,Cadiz,0,2,4,6,0,4,2,1
Betis,Valladolid,2,0,16,9,6,2,5,3
Granada,Alaves,2,1,10,5,3,3,4,4
Sociedad,Real Madrid,0,0,6,16,1,4,1,11
Alaves,Getafe,0,0,9,11,0,4,1,5
Valencia,Huesca,1,1,5,17,2,4,4,4
Elche,Sociedad,0,3,5,27,2,7,2,11
Betis,Real Madrid,2,3,15,11,5,4,8,3
Osasuna,Levante,1,3,9,11,4,5,3,7
Eibar,Ath Bilbao,1,2,7,9,1,5,5,4
Ath Madrid,Granada,6,1,17,11,10,6,1,1
Cadiz,Sevilla,1,3,12,14,5,5,6,5
Valladolid,Celta,1,1,10,5,4,1,4,1
Barcelona,Villarreal,4,0,17,5,9,1,8,4
Sociedad,Valencia,0,1,11,9,3,5,9,3
Getafe,Betis,3,0,8,10,4,2,1,4
Huesca,Ath Madrid,0,0,9,16,3,2,5,7
Villarreal,Alaves,3,1,10,8,6,3,2,0
Eibar,Elche,0,1,12,5,4,2,3,2
Real Madrid,Valladolid,1,0,15,11,5,5,4,7
Ath Bilbao,Cadiz,0,1,13,3,4,1,5,2
Sevilla,Levante,1,0,16,3,2,1,2,4
Celta,Barcelona,0,3,10,6,3,3,3,7
Valladolid,Eibar,1,2,9,11,3,5,3,4
Ath Madrid,Villarreal,0,0,14,6,1,2,9,1
Elche,Huesca,0,0,2,18,0,4,0,5
Sociedad,Getafe,3,0,11,5,6,1,5,4
Valencia,Betis,0,2,5,17,2,8,4,7
Osasuna,Celta,2,0,14,9,5,3,6,5
Alaves,Ath Bilbao,1,0,8,8,3,0,0,6
Levante,Real Madrid,0,2,11,13,4,3,4,6
Cadiz,Granada,1,1,14,13,4,5,2,5
Barcelona,Sevilla,1,1,12,13,5,1,6,5
Granada,Sevilla,1,0,13,8,3,3,5,1
Celta,Ath Madrid,0,2,15,9,5,4,8,4
Real Madrid,Cadiz,0,1,14,14,2,5,4,11
Getafe,Barcelona,1,0,9,7,4,1,7,2
Eibar,Osasuna,0,0,10,8,6,2,6,7
Ath Bilbao,Levante,2,0,14,6,5,1,9,3
Villarreal,Valencia,2,1,16,11,6,3,3,7
Alaves,Elche,0,2,13,7,2,3,2,6
Huesca,Valladolid,2,2,12,5,7,3,3,1
Betis,Sociedad,0,3,7,8,1,5,6,2
Elche,Valencia,2,1,3,14,2,4,0,7
Barcelona,Real Madrid,1,3,10,15,4,9,7,7
Osasuna,Ath Bilbao,1,0,7,13,2,5,2,5
Sevilla,Eibar,0,1,21,3,3,1,13,3
Ath Madrid,Betis,2,0,13,12,6,3,8,5
Valladolid,Alaves,0,2,5,14,1,4,2,4
Cadiz,Villarreal,0,0,5,7,0,2,0,5
Getafe,Granada,0,1,10,5,1,2,6,1
Sociedad,Huesca,4,1,13,6,6,4,4,5
Levante,Celta,1,1,10,10,3,3,3,2
Eibar,Cadiz,0,2,9,6,3,4,7,2
Real Madrid,Huesca,4,1,13,9,6,2,6,3
Ath Bilbao,Sevilla,2,1,16,7,5,3,6,1
Osasuna,Ath Madrid,1,3,8,11,3,6,3,2
Alaves,Barcelona,1,1,4,25,3,9,2,14
Betis,Elche,3,1,17,4,10,2,1,1
Celta,Sociedad,1,4,9,9,2,7,2,3
Granada,Levante,1,1,5,19,2,4,2,8
Valencia,Getafe,2,2,11,16,5,5,0,3
Villarreal,Valladolid,2,0,11,11,5,1,6,4
Elche,Celta,1,1,8,14,1,6,3,3
Huesca,Eibar,1,1,14,8,6,3,4,3
Barcelona,Betis,5,2,18,12,9,6,9,5
Sevilla,Osasuna,1,0,9,10,1,2,3,0
Ath Madrid,Cadiz,4,0,17,10,7,3,2,7
Getafe,Villarreal,1,3,13,9,5,5,3,3
Sociedad,Granada,2,0,22,2,9,1,15,0
Levante,Alaves,1,1,18,6,5,2,12,1
Valladolid,Ath Bilbao,2,1,7,17,4,2,2,11
Valencia,Real Madrid,4,1,7,16,4,6,1,8
Osasuna,Huesca,1,1,18,6,7,5,4,3
Levante,Elche,1,1,13,11,5,5,5,4
Villarreal,Real Madrid,1,1,13,6,1,1,4,2
Sevilla,Celta,4,2,15,10,10,7,3,2
Ath Madrid,Barcelona,1,0,9,13,2,4,8,8
Eibar,Getafe,0,0,15,8,5,3,3,4
Cadiz,Sociedad,0,1,2,14,0,4,1,6
Granada,Valladolid,1,3,16,9,6,3,5,3
Alaves,Valencia,2,2,13,13,3,5,4,5
Ath Bilbao,Betis,4,0,14,7,9,1,6,3
Valladolid,Levante,1,1,10,10,4,3,3,11
Elche,Cadiz,1,1,4,7,3,2,1,9
Valencia,Ath Madrid,0,1,5,14,2,6,2,7
Huesca,Sevilla,0,1,5,16,1,4,1,10
Real Madrid,Alaves,1,2,20,11,9,6,12,9
Barcelona,Osasuna,4,0,20,10,11,5,5,3
Getafe,Ath Bilbao,1,1,11,5,3,2,3,2
Celta,Granada,3,1,17,9,8,2,8,0
Sociedad,Villarreal,1,1,8,10,4,2,4,4
Betis,Eibar,0,2,7,11,3,6,6,2
Ath Bilbao,Celta,0,2,10,6,0,4,4,5
Levante,Getafe,3,0,12,9,8,0,5,5
Sevilla,Real Madrid,0,1,12,10,2,3,4,3
Ath Madrid,Valladolid,2,0,15,13,4,3,4,4
Cadiz,Barcelona,2,1,7,21,3,8,5,13
Granada,Huesca,3,3,15,16,6,7,4,2
Osasuna,Betis,0,2,10,12,0,5,2,5
Villarreal,Elche,0,0,12,3,3,0,4,0
Alaves,Sociedad,0,0,5,13,1,5,2,3
Eibar,Valencia,0,0,19,6,3,4,8,0
Valladolid,Osasuna,3,2,11,13,6,6,3,3
Valencia,Ath Bilbao,2,2,11,13,2,5,0,10
Getafe,Sevilla,0,1,8,8,2,0,5,3
Huesca,Alaves,1,0,11,3,3,1,5,2
Real Madrid,Ath Madrid,2,0,11,5,3,1,3,6
Sociedad,Eibar,1,1,8,16,2,4,5,4
Betis,Villarreal,1,1,11,7,5,2,4,8
Elche,Granada,0,1,9,13,1,5,6,5
Barcelona,Levante,1,0,24,7,13,3,12,4
Celta,Cadiz,4,0,8,12,5,2,1,5
Real Madrid,Ath Bilbao,3,1,18,10,5,4,6,6
Barcelona,Sociedad,2,1,14,12,4,5,2,3
Ath Bilbao,Huesca,2,0,10,6,3,1,5,5
Ath Madrid,Elche,3,1,12,8,6,3,2,5
Barcelona,Valencia,2,2,25,12,9,4,8,3
Levante,Sociedad,2,1,13,15,5,5,3,4
Osasuna,Villarreal,1,3,6,13,1,6,2,2
Sevilla,Valladolid,1,1,14,12,3,5,7,7
Celta,Alaves,2,0,11,8,3,2,3,5
Granada,Betis,2,0,8,14,3,1,1,10
Cadiz,Getafe,0,2,8,6,1,4,2,4
Eibar,Real Madrid,1,3,10,11,3,5,4,4
Elche,Osasuna,2,2,7,15,2,6,4,4
Valencia,Sevilla,0,1,10,19,4,3,3,5
Huesca,Levante,1,1,11,9,2,1,10,3
Sociedad,Ath Madrid,0,2,6,8,1,3,5,5
Valladolid,Barcelona,0,3,12,21,5,10,4,5
Villarreal,Ath Bilbao,1,1,17,9,6,3,6,4
